foreign_lang,native_lang,flag
rather,やや、割に,0
view,見解,0
together,一緒に,0
consider,よく考える,0
price,価格,0
parent,親,0
hard,固い,0
party,政党,0
local,地方の,0
control,操作する,0
already,すでに,0
concern,心配する,0
product,製品、生産物,0
lose,失う,0
story,物語,0
almost,ほとんど,0
continue,続ける,0
stand,立つ,0
whole,全体,0
yet,まだ,0
rate,速度、率,0
care,注意,0
expect,期待する,0
effect,効果,0
sort,一部,0
ever,今までに,0
anything,何でも,0
cause,要因,0
fall,落ちる,0
deal,取引,0
water,水,0
send,送る,0
allow,許可する,0
soon,すぐに,0
watch,見る,0
base,土台,0
probably,おそらく,0
suggest,提案する,0
past,過去,0
power,力,0
test,テスト,0
visit,訪問する,0
center,中央,0
grow,育つ,0
nothing,無,0
return,戻る,0
mother,母,0
walk,歩く,0
matter,物質,0
mind,心,0
value,価値,0
office,事務所,0
record,記録,0
stay,とどまる,0
force,強いる,0
stop,止まる,0
several,数個の,0
light,光、明かり,0
develop,発展させる,0
remember,思い出す,0
bit,少し,0
share,共有する,0
real,本当の,0
answer,答え,0
sit,座る,0
figure,図,0
letter,文字,0
decide,決める,0
language,言語,0
subject,主題,0
class,クラス,0
development,開発,0
town,町,0
half,半分,0
minute,分,0
food,食べ物,0
break,壊す,0
clear,明らかに,0
future,未来,0
either,どちらか,0
ago,以前に,0
per,～につき,0
remain,残る,0
top,最上部,0
among,～の間で,0
win,勝つ,0
color,色,0
involve,巻き込む,0
reach,届く,0
social,社会の,0
period,期間,0
across,横切って,0
note,メモ,0
history,歴史,0
create,作る,0
drive,運転する,0
along,沿って,0
type,型,0
sound,音,0
eye,目,0
music,音楽,0
game,ゲーム、競技,0
political,政治の,0
free,自由,0
receive,受け取る,0
moment,瞬間,0
sale,販売,0
policy,政策,0
further,さらに,0
body,体,0
require,必要とする,0
wait,待つ,0
general,一般的な,0
appear,現れる,0
toward,向かって,0
team,チーム,0
easy,簡単な,0
individual,個人の,0
full,いっぱい,0
black,黒い,0
sense,感覚,0
perhaps,ひょっとして,0
add,加える,0
rule,規則,0
pass,通る,0
produce,生産する,0
sell,売る,0
short,短い,0
agree,賛成する,0
law,法律,0
everything,すべて,0
research,調査研究,0
cover,覆う,0
paper,紙,0
position,位置,0
near,近く,0
human,人,0
computer,コンピューター,0
situation,状況,0
staff,スタッフ,0
activity,活動,0
film,フィルム,0
morning,朝,0
war,戦争,0
account,報告,0
shop,店,0
major,主要な,0
someone,だれか,0
above,～の上,0
design,設計する,0
event,行事,0
special,特別,0
sometimes,ときどき,0
condition,状況,0
carry,運ぶ,0
choose,選ぶ,0
father,父親,0
decision,決断,0
table,テーブル,0
certain,確かな,0
forward,前方の,0
main,主要な,0
die,死ぬ,0
bear,耐える、負う,0
cut,切る,0
describe,言い表す,0
himself,彼自身,0
available,利用できる,0
especially,特に,0
strong,強い,0
rise,昇る,0
girl,少女,0
maybe,～かもしれない,0
community,社会,0
else,他の,0
particular,特定の,0
role,役,0
join,合わせる,0
difficult,難しい,0
please,どうか,0
detail,詳細,0
difference,違い,0
action,行動,0
health,健康,0
eat,食べる,0
step,一歩歩む,0
true,本当の,0
phone,電話,0
themselves,彼ら自身,0
draw,描く,0
white,白,0
date,日付,0
practice,練習する,0
model,模型,0
raise,上げる,0
customer,顧客,0
front,前,0
explain,説明する,0
door,ドア,0
outside,外,0
behind,後ろに,0
economic,経済の,0
site,現場,0
approach,近づく,0
teacher,教師,0
land,陸,0
charge,請求する,0
finally,最後に,0
sign,しるし,0
claim,主張する,0
relationship,関係,0
travel,旅する,0
enjoy,楽しむ,0
death,死,0
nice,素晴らしい,0
amount,量,0
improve,改善する,0
picture,写真、絵,0
boy,男の子,0
regard,顧慮する,0
organization,組織,0
happy,幸福な,0
couple,一対,0
act,行動する,0
range,範囲、幅,0
quality,質、品質,0
project,企画,0
round,丸い,0
opportunity,機会,0
road,道,0
accord,合意,0
list,リスト,0
wish,願う,0
therefore,従って、だから,0
wear,着る,0
fund,資金,0
rest,休憩,0
kid,子供,0
industry,産業,0
education,教育,0
measure,測る,0
kill,殺す,0
serve,供給する、～を出す,0
likely,～しそうだ,0
certainly,確実な,0
national,国の,0
itself,それなり,0
teach,教える,0
field,野原,0
security,警備,0
air,空気,0
benefit,利益、恩恵,0
trade,交換する,0
risk,リスク,0
news,ニュース,0
standard,基準,0
vote,投票する,0
percent,㌫,0
focus,焦点,0
stage,段階,0
space,場所,0
instead,代わり,0
realize,気づく,0
usually,たいてい,0
data,データ,0
single,単独,0
address,住所,0
performance,演技,0
chance,機会,0
accept,引き受ける,0
society,社会,0
technology,科学技術、テクノロジー,0
mention,言及する,0
choice,選択,0
save,救う,0
common,一般的な,0
culture,文化,0
total,合計,0
demand,需要,0
material,材料,0
limit,限度,0
listen,聞く,0
due,期限,0
wrong,悪い、間違いの,0
foot,足（くるぶしから下）,0
effort,努力,0
attention,注意,0
upon,～の上に,0
check,確認する,0
complete,完璧,0
lie,横になる,0
pick,選ぶ,0
reduce,減らす,0
personal,個人的な,0
ground,地面,0
animal,動物,0
arrive,到着する,0
patient,忍耐強い,0
current,現在の,0
century,世紀,0
evidence,証拠,0
exist,存在する,0
similar,似ている,0
fight,戦う,0
leader,リーダー,0
fine,よい,0
street,街路,0
former,前の,0
contact,接触,0
particularly,特に,0
wife,妻,0
sport,スポーツ,0
prepare,用意する,0
discuss,議論する,0
response,応答,0
voice,声,0
piece,一切れ,0
finish,終り,0
suppose,想定する,0
apply,申し込む,0
president,大統領,0
fire,火,0
compare,比べる,0
court,裁判所,0
police,警察,0
store,店,0
poor,貧しい,0
knowledge,知識,0
laugh,笑う,0
arm,腕,0
heart,心,0
source,源,0
employee,従業員,0
manage,管理する,0
simply,簡単に,0
bank,堤防,0
firm,堅い,0
cell,細胞,0
article,記事,0
fast,速い,0
attack,攻撃する,0
foreign,異国（の）,0
surprise,驚く,0
feature,特徴,0
factor,要因,0
pretty,かなりの、すてきな,0
recently,最近,0
affect,影響を与える,0
drop,落とす,0
recent,最近,0
relate,関連付ける,0
official,職務上の,0
financial,財政的な,0
miss,外す、逃す,0
art,芸術,0
campaign,キャンペーン,0
private,私的な,0
pause,一時停止,0
everyone,全員,0
forget,忘れる,0
page,ページ,0
worry,心配する,0
summer,夏,0
drink,飲む,0
opinion,意見,0
park,公園,0
represent,代表を務める,0
key,鍵,0
inside,内側,0
manager,経営者、管理者、部長,0
international,国際的な,0
contain,含む,0
notice,気づく,0
wonder,驚くべきこと,0
nature,物質界,0
structure,構造,0
section,部分,0
myself,自分自身,0
exactly,まさに,0
plant,植物,0
paint,ペンキ,0
worker,従業員,0
press,新聞、雑誌、報道機関,0
whatever,なんでも,0
necessary,必要,0
region,地域,0
growth,成長,0
evening,夕べ,0
influence,影響,0
respect,尊敬,0
various,さまざまな,0
catch,捕まえる,0
thus,そのように,0
skill,技術,0
attempt,試みる,0
son,息子,0
simple,易しい、単純な,0
medium,中くらい,0
average,平均,0
stock,在庫,0
management,経営者,0
character,性格,0
bed,ベッド,0
hit,打つ,0
establish,設立する,0
indeed,実に、まさに,0
final,最終,0
economy,経済,0
fit,適切である,0
guy,男,0
function,機能,0
yesterday,昨日,0
image,絵、像,0
size,サイズ、寸法,0
behavior,態度、行動,0
addition,追加物,0
determine,決定する,0
station,駅,0
population,人口,0
fail,失敗する,0
environment,環境,0
production,生産,0
contract,契約,0
player,プレーヤー,0
comment,コメントする,0
enter,入る,0
occur,起こる,0
alone,単独,0
significant,著しい,0
drug,薬,0
wall,壁,0
series,一続き、連続の,0
direct,向かわせる,0
success,成功,0
tomorrow,明日,0
director,監督,0
clearly,はっきりと,0
lack,欠けている,0
review,精査,0
depend,頼る,0
race,人種,0
recognize,認識する,0
window,窓,0
purpose,目的,0
department,部門,0
gain,得る,0
tree,木,0
college,大学,0
argue,主張する,0
board,板,0
holiday,休日,0
mark,印をつける,0
church,教会,0
machine,機械,0
achieve,達成する,0
item,品物,0
prove,証明する,0
cent,セント,0
season,季節,0
floor,床,0
stuff,材料,0
wide,広い,0
anyone,だれか,0
method,方法,0
analysis,分析,0
election,選挙,0
military,軍の,0
hotel,ホテル,0
club,クラブ,0
below,下に,0
movie,映画,0
doctor,医師,0
discussion,議論,0
sorry,気の毒に思う,0
challenge,異議を申し立てる,0
nation,国家,0
nearly,ほとんど,0
statement,声明,0
link,結びつける,0
despite,にもかかわらず,0
introduce,紹介する,0
advantage,利点,0
ready,準備ができている,0
marry,結婚する,0
strike,打つ,0
mile,マイル,0
seek,探し求める,0
ability,能力,0
unit,単位,0
card,カード,0
hospital,病院,0
quickly,速く,0
interview,面接,0
agreement,合意,0
release,釈放する,0
tax,税金,0
solution,解決策,0
capital,首都,0
popular,人気がある,0
specific,独特な、特に,0
beautiful,美しい,0
fear,恐れ,0
aim,狙う,0
television,テレビ,0
serious,深刻な,0
target,目的,0
degree,度,0
pull,引く,0
red,赤,0
husband,夫,0
access,アクセス,0
movement,動き,0
treat,扱う,0
identify,識別する,0
loss,失うこと,0
shall,～となるだろう,0
modern,現代的な,0
pressure,圧力,0
bus,バス,0
treatment,治療,0
yourself,あなた自身,0
supply,供給,0
village,村,0
worth,価値,0
natural,自然,0
express,表現する、伝える,0
indicate,指し示す,0
attend,出席する,0
brother,兄弟,0
investment,投資,0
score,スコア,0
organize,まとめる,0
trip,旅,0
beyond,～を越えて,0
sleep,寝る,0
fish,魚,0
promise,約束,0
potential,潜在能力,0
energy,エネルギー,0
trouble,困難,0
relation,関係,0
touch,触る,0
file,ファイル,0
middle,中間,0
bar,酒場,0
suffer,苦しむ,0
strategy,戦略,0
deep,深い,0
except,～以外,0
clean,綺麗にする、きれいな,0
tend,傾向がある,0
advance,進む,0
fill,満たす,0
star,星,0
network,ネットワーク,0
generally,一般的に,0
operation,手術,0
match,匹敵する,0
avoid,避ける,0
seat,席,0
throw,投げる,0
task,仕事,0
normal,普通,0
goal,目標,0
associate,関連付ける、連想する,0
blue,青,0
positive,前向きな,0
option,選択,0
box,箱,0
huge,とてつもなく大きい,0
message,"メッセージ,伝言",0
instance,事例,0
style,型,0
refer,言及する,0
cold,冷たい,0
push,押す,0
quarter,４分の１,0
assume,負う,0
baby,赤ん坊,0
successful,成功した,0
sing,歌う,0
doubt,疑う,0
competition,競争,0
theory,理論,0
propose,提案する,0
reference,言及する,0
argument,口論,0
adult,大人,0
fly,飛ぶ,0
document,文書,0
pattern,パターン,0
application,応募書,0
hot,熱い,0
obviously,明らかに,0
unclear,明確でない,0
bill,請求書,0
search,探す,0
separate,分かれた,0
central,真ん中の,0
career,キャリア,0
anyway,とにかく,0
speech,スピーチ,0
dog,犬,0
officer,会社員,0
throughout,～にわたって、～を通じて,0
oil,"オイル,油",0
dress,ドレス,0
profit,利益,0
guess,推測する,0
fun,楽しい,0
protect,守る,0
resource,資源,0
science,科学,0
disease,病気,0
balance,バランス,0
damage,損傷,0
basis,基礎,0
author,著者,0
basic,基本的な,0
encourage,勇気づける,0
hair,毛髪、毛,0
male,男性,0
operate,動作する,0
reflect,反射する,0
exercise,運動,0
useful,便利,0
restaurant,レストラン,0
income,収入,0
property,所有物,0
previous,前の,0
dark,暗い,0
imagine,想像する,0
okay,ＯＫ、いいよ,0
earn,稼ぐ,0
daughter,娘,0
post,郵便物,0
newspaper,新聞,0
define,定義する,0
conclusion,結論,0
clock,時計,0
everybody,全員,0
weekend,週末,0
perform,演じる,0
professional,専門の,0
mine,私のもの,0
debate,討論,0
memory,記憶,0
green,緑,0
song,歌,0
object,物体,0
maintain,維持する,0
credit,信用,0
ring,指輪,0
discover,発見する,0
dead,死んでいる,0
afternoon,午後,0
prefer,～をより好む,0
extend,伸ばす,0
possibility,可能性,0
direction,方向,0
facility,施設,0
variety,多様な,0
daily,日誌,0
clothes,衣服,0
screen,画面,0
track,(人・車などの）通った跡,0
dance,踊る,0
completely,完全に,0
female,女性,0
responsibility,責任,0
original,オリジナル,0
sister,姉妹,0
rock,揺れ動く,0
dream,夢,0
nor,AもBも～でない,0
university,大学,0
easily,簡単に,0
agency,代理店,0
dollar,ドル,0
garden,庭,0
fix,修理する,0
ahead,前,0
cross,交差する,0
yeah,ああ,0
weight,重さ,0
legal,法律上の、法的な,0
proposal,提案,0
version,版,0
conversation,会話,0
somebody,誰か,0
pound,ポンド,0
magazine,雑誌,0
shape,形,0
sea,海,0
immediately,ただちに,0
welcome,ようこそ,0
smile,笑顔,0
communication,コミュニケーション,0
agent,代理人,0
traditional,伝統的な,0
replace,取って代わる,0
judge,審判,0
herself,彼女自身,0
suddenly,突然,0
generation,世代,0
estimate,予算,0
favorite,お気に入りの,0
difficulty,困難,0
purchase,購入する,0
shoot,撃つ,0
announce,発表する,0
unless,～でない限り,0
independent,独立,0
recommend,薦める,0
survey,調査,0
majority,大多数,0
stick,棒,0
request,要請,0
rich,金持ち,0
wind,風,0
none,誰も・何も～ない,0
exchange,交換,0
budget,予算,0
famous,有名,0
blood,血液,0
appropriate,適切な,0
block,ブロック,0
warm,暖かい,0
count,数える,0
scene,場面,0
writer,作家,0
content,内容,0
prevent,防ぐ,0
safe,安全な,0
invite,誘う,0
mix,混ぜる,0
element,要素,0
effective,効果的な,0
correct,正しい,0
medical,医療の,0
admit,認める,0
beat,打つ,0
telephone,電話,0
copy,うり二つ,0
committee,委員会,0
aware,気づく,0
advice,アドバイス、助言,0
handle,ハンドル,0
glass,ガラス,0
trial,裁判,0
stress,ストレス,0
radio,ラジオ、無線,0
administration,経営管理,0
complex,複雑な,0
text,本文,0
context,事情,0
ride,乗る,0
directly,直接,0
heavy,重い,0
remove,取り除く,0
conduct,導く,0
equipment,設備,0
otherwise,さもなければ,0
title,題名,0
extra,余計な,0
executive,幹部,0
chair,いす,0
expensive,高い,0
sample,見本,0
sex,性別,0
deliver,届ける,0
video,ビデオ,0
connection,接続,0
primary,主要な,0
weather,天気,0
collect,集める,0
inform,知らせる,0
principle,原理、原則,0
straight,真っすぐな,0
appeal,訴え、要請,0
highly,非常に、高く,0
trust,信頼,0
wonderful,素晴らしい,0
flat,平らな,0
absolutely,全く,0
flow,流れる,0
fair,公平,0
additional,追加の,0
responsible,責任のある,0
farm,農場,0
collection,収集,0
hang,吊るす,0
negative,否定的な,0
band,バンド,0
relative,関係性のある,0
tour,旅行,0
alternative,選択肢,0
software,ソフトウェア,0
pair,一組、一対,0
ship,船,0
attitude,態度,0
cheap,安い,0
double,二重の,0
leg,脚,0
observe,観察する,0
sentence,文,0
print,印刷する,0
progress,前進,0
truth,真実,0
nobody,だれも～ない,0
examine,調べる,0
lay,敷く、置く,0
speed,速度,0
politics,政治,0
reply,返事をする,0
display,展示する,0
transfer,移動する,0
perfect,完璧,0
slightly,わずかに,0
overall,全体の,0
intend,～するつもりだ,0
user,使用者,0
respond,返事をする,0
dinner,夕食,0
slow,遅い,0
regular,定期的な,0
physical,身体の,0
apart,離れた,0
suit,スーツ,0
federal,連邦の,0
reveal,明かす,0
percentage,割合,0
peace,平和,0
status,地位,0
crime,犯罪,0
decline,下降する,0
decade,１０年,0
launch,発射する、進水させる、発売する,0
warn,警告する,0
consumer,消費者,0
favor,恩恵、世話,0
dry,乾く,0
partner,相棒,0
institution,機関,0
spot,場所,0
horse,馬,0
eventually,最終的に,0
heat,熱,0
excite,興奮させる,0
reader,読者,0
importance,重要性,0
distance,距離,0
guide,案内人,0
grant,許諾する、与える,0
taxi,タクシー,0
feed,食物を与える,0
pain,痛み,0
sector,課,0
mistake,誤り,0
ensure,確保する,0
satisfy,満足させる,0
chief,長、主任,0
cool,冷たい、涼しい,0
expert,専門家,0
wave,波,0
south,南,0
labor,労働,0
surface,表面,0
library,図書館,0
excellent,すばらしい,0
edge,端,0
camp,キャンプ,0
audience,観衆,0
lift,持ち上げる,0
procedure,手続き,0
email,e-メール,0
global,グローバル,0
struggle,奮闘する,0
advertise,宣伝する,0
select,選択する,0
surround,周り,0
extent,規模,0
river,川,0
annual,年に一度,0
fully,完全に,0
contrast,対比する,0
roll,転がる,0
reality,現実,0
photograph,写真,0
artist,芸術家,0
conflict,闘争,0
entire,全体の,0
presence,存在,0
crowd,人混み,0
corner,角,0
gas,ガソリン,0
shift,移す,0
net,網,0
category,分類,0
secretary,秘書,0
defense,防御,0
quick,早い,0
cook,料理人,0
spread,広がる,0
nuclear,核,0
scale,規模,0
driver,運転手,0
ball,ボール,0
cry,泣く,0
introduction,導入,0
requirement,要件,0
north,北,0
confirm,確認する,0
senior,上級の、年上の,0
photo,写真,0
refuse,拒む,0
transport,運ぶ,0
emerge,出現する,0
map,地図,0
concept,概念・発想,0
island,島,0
reform,改革,0
neither,どちらも～ない,0
football,サッカー,0
survive,生き残る,0
flight,飛行,0
left,左,0
solve,解決する,0
neighbor,隣の,0
background,背景,0
technique,技術,0
traffic,交通,0
improvement,改善,0
tool,道具,0
consequence,結果,0
circumstance,取り巻く環境,0
smoke,煙,0
reaction,反応,0
rain,雨,0
busy,忙しい,0
lesson,授業,0
brain,脳,0
mass,巨大,0
funny,おかしい,0
contribute,貢献する,0
failure,失敗,0
schedule,日程,0
speaker,スピーカー,0
bottom,底,0
adopt,採用する,0
combine,組み合わせる,0
mountain,山,0
waste,無駄にする,0
hide,隠れる,0
marriage,結婚,0
ticket,チケット,0
meal,ご飯,0
colleague,同僚,0
bag,バッグ,0
repeat,繰り返す,0
equal,等しい,0
expression,表現,0
plus,プラス,0
extremely,極めて,0
owner,持ち主,0
plane,飛行機,0
commercial,商業の,0
lady,女性,0
duty,業務,0
strength,体力,0
connect,つなぐ,0
cultural,文化の,0
arrange,並べる,0
scheme,計画,0
payment,支払い,0
unfortunately,残念ながら,0
brief,短時間の,0
bird,鳥,0
demonstrate,実演する,0
contribution,貢献,0
appreciate,感謝する,0
chapter,章,0
secret,秘密な,0
apparently,～そうだ、～らしい,0
novel,小説,0
union,組合,0
burn,燃える,0
trend,傾向、動向,0
initial,最初の,0
pleasure,喜び,0
suggestion,提案,0
critical,批判的な,0
gather,集合,0
mostly,たいていは,0
earth,地球,0
pop,ポンと音を立てる、破裂させる,0
essential,不可欠な,0
desire,望む,0
promote,昇進させる,0
currently,現在,0
employ,雇う,0
path,小道,0
topic,題,0
beach,海辺,0
attract,ひきつける,0
engage,関心を引き付ける,0
powerful,強力な,0
flower,花,0
crisis,危機,0
settle,決着をつける,0
boat,ボート,0
aid,援助する,0
fan,扇風機,0
kitchen,台所,0
twice,2回,0
fresh,新鮮な,0
delay,遅れる,0
safety,安全,0
engineer,技術者,0
quiet,静か,0
insurance,保険,0
nurse,看護師,0
divide,分ける,0
length,長さ,0
investigation,調査,0
package,パッケージ,0
somewhere,どこか,0
expand,拡大する,0
commit,ささげる、専念する,0
obvious,明らかな,0
jump,跳ぶ,0
weapon,武器,0
relatively,比較的に,0
host,主催者、（客をもてなす）主人,0
winter,冬,0
district,区,0
broad,幅広い,0
tire,疲れる,0
spring,春,0
spirit,魂,0
lunch,昼食,0
actual,現実の,0
pool,水たまり,0
battle,戦い,0
tradition,伝統,0
cash,現金,0
hardly,ほとんど～ない,0
award,賞,0
coach,コーチ,0
experiment,実験,0
consideration,考慮,0
strange,変な,0
code,暗号,0
possibly,もしかしたら,0
threat,脅かす人・もの,0
accident,事故,0
impossible,不可能,0
revenue,収益,0
enable,～を可能にする,0
afraid,怖がる,0
active,積極的,0
conclude,終える,0
religious,宗教の,0
cancer,癌,0
convince,納得させる,0
vary,変わる,0
environmental,環境の,0
sun,太陽,0
healthy,健康な,0
blow,吹く,0
volume,音量、巻,0
location,位置,0
invest,投資する,0
proceed,進める,0
wash,洗う,0
actor,俳優,0
glad,喜び,0
tape,テープ,0
whereas,その一方で,0
opposite,反対,0
stone,石,0
sum,合計,0
murder,殺人犯,0
monitor,監視する,0
soldier,軍人,0
finance,財務,0
hate,～をひどく嫌う,0
egg,卵,0
concert,コンサート,0
shock,衝撃,0
comfortable,心地よい,0
usual,通常,0
carefully,慎重に,0
pack,詰める,0
recall,思い出す,0
wine,ワイン,0
camera,カメラ,0
swim,泳ぐ,0
manufacture,製造する,0
theater,劇場,0
cycle,循環,0
coffee,コーヒー,0
totally,完全に,0
museum,美術館,0
visitor,訪問者,0
freedom,自由,0
construction,建設,0
dear,親愛なる,0
objective,客観的,0
moreover,そのうえに,0
onto,～の上に,0
historical,歴史的な,0
oppose,反対する,0
branch,枝,0
vehicle,乗り物,0
scientist,科学者,0
route,道,0
bind,縛る,0
belong,所属する,0
taste,味,0
tonight,今夜,0
fashion,流行,0
danger,危険,0
bomb,爆弾,0
army,陸軍,0
dangerous,危険,0
decrease,減少,0
hurt,傷つける,0
council,評議会,0
editor,編集者,0
normally,通常,0
sight,視力,0
generate,生成する,0
gift,贈り物,0
delivery,宅配,0
deny,否定する,0
guest,ゲスト,0
anybody,だれか,0
bedroom,寝室,0
quote,引用する,0
climb,登る,0
basically,基本的に,0
violence,暴力,0
minister,大臣,0
mainly,投票者、有権者,0
mouth,口,0
noise,騒音,0
manner,方法,0
gun,ピストル、鉄砲,0
square,四角形,0
occasion,機会,0
familiar,親しい,0
ignore,無視する,0
destroy,破壊する,0
affair,業務,0
civil,市民の,0
locate,（場所を）見つける,0
citizen,市民,0
temperature,温度,0
gold,金,0
domestic,家庭の、国内の,0
load,積載貨物,0
belief,信念,0
troop,一団、軍隊,0
technical,技術の,0
remind,思い出させる,0
arrangement,合意、取り決め,0
skin,肌,0
prison,牢獄,0
switch,切り替える,0
acquire,得る,0
corporate,法人の,0
fairly,かなり,0
wood,木,0
participate,参加する,0
tough,とても難しい,0
tear,涙,0
representative,代表,0
capacity,許容量,0
border,国境,0
shake,振る,0
assessment,査定、評価,0
shoe,くつ,0
ought,～すべき,0
ad,広告,0
fee,謝礼金,0
hall,ホール,0
regulation,規制,0
escape,逃げる,0
studio,スタジオ,0
proper,適切な,0
relax,くつろぐ,0
tourist,旅行者,0
component,構成要素、部品,0
afford,買うことができる,0
lawyer,弁護士,0
suspect,疑う,0
cup,カップ,0
description,描写,0
confidence,自信,0
industrial,産業の,0
complain,不平を言う,0
perspective,観点,0
error,誤り、エラー,0
arrest,逮捕する,0
assess,評価する,0
register,登録簿,0
asset,貴重な人材、資産,0
signal,信号,0
finger,指,0
relevant,関係のある,0
explore,探る,0
leadership,指導権,0
commitment,約束、義務,0
wake,起こす,0
necessarily,必ずしも,0
bright,輝く,0
frame,骨組み、体格,0
slowly,ゆっくりと,0
bond,絆,0
hire,雇う,0
hole,穴,0
tie,つなげる,0
internal,内部の,0
chain,鎖,0
literature,文学,0
victim,犠牲者,0
threaten,脅かす,0
division,分割,0
secure,確保する,0
amaze,驚かす,0
device,装置,0
birth,誕生,0
forest,森,0
label,ラベル,0
root,根,0
factory,工場,0
expense,費用,0
channel,チャンネル,0
investigate,調査する,0
recommendation,推薦,0
rank,階級、地位,0
typical,典型的な,0
west,西,0
friendly,友好的,0
resident,居住者,0
provision,規定,0
concentrate,集中する,0
plenty,たくさんの,0
export,輸出する,0
entirely,完全に,0
strongly,強く,0
bridge,橋,0
consist,成る,0
graduate,卒業する,0
brand,商標,0
moral,道義をわきまえた,0
insist,主張する,0
